Achievement,Pretrained,action_diversity,delta_action_diversity,advantage_clip,delta_advantage_clip,attention_only,delta_attention_only,baseline_rl,delta_baseline_rl,bc_wins,delta_bc_wins,entropy_bonus,delta_entropy_bonus,ewc,delta_ewc,ffn_only,delta_ffn_only,frozen_backbone,delta_frozen_backbone,gradient_surgery,delta_gradient_surgery,head_only,delta_head_only,kl_penalty,delta_kl_penalty,layer_ablation_top1,delta_layer_ablation_top1,layer_ablation_top2,delta_layer_ablation_top2,layer_ablation_top3,delta_layer_ablation_top3,llrd,delta_llrd,lora,delta_lora,low_t,delta_low_t,mixed_replay,delta_mixed_replay,normalized_adv,delta_normalized_adv,reward_filtering,delta_reward_filtering,reward_model,delta_reward_model,running_stats,delta_running_stats,t_curriculum,delta_t_curriculum,trust_region_kl,delta_trust_region_kl
Achievements/eat_plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Achievements/make_iron_pickaxe,0.0214,0.0238,0.0024,0.0221,0.0006,0.0,-0.0214,0.0214,0.0,0.0,-0.0214,0.0284,0.0069,0.037,0.0156,0.0,-0.0214,0.0,-0.0214,0.0074,-0.0141,0.0,-0.0214,0.0222,0.0008,0.0,-0.0214,0.0144,-0.007,0.0072,-0.0142,0.0213,-0.0002,0.0,-0.0214,0.0141,-0.0073,0.0078,-0.0136,0.0,-0.0214,0.0504,0.0289,0.014,-0.0074,0.0368,0.0153,0.0213,-0.0002,0.0,-0.0214
Achievements/make_iron_sword,0.1214,0.1349,0.0135,0.125,0.0036,0.0,-0.1214,0.1571,0.0357,0.1571,0.0357,0.1206,-0.0009,0.1259,0.0045,0.0,-0.1214,0.0,-0.1214,0.0956,-0.0258,0.0,-0.1214,0.1778,0.0563,0.0,-0.1214,0.0288,-0.0927,0.0,-0.1214,0.0922,-0.0292,0.0,-0.1214,0.0845,-0.0369,0.1875,0.0661,0.0,-0.1214,0.1367,0.0153,0.1538,0.0324,0.1471,0.0256,0.1277,0.0062,0.0815,-0.0399
Achievements/make_stone_pickaxe,0.65,0.6746,0.0246,0.6029,-0.0471,0.0,-0.65,0.6714,0.0214,0.6929,0.0429,0.6525,0.0025,0.7407,0.0907,0.0242,-0.6258,0.0,-0.65,0.6838,0.0338,0.0,-0.65,0.6815,0.0315,0.1418,-0.5082,0.3525,-0.2975,0.2971,-0.3529,0.6525,0.0025,0.0,-0.65,0.6408,-0.0092,0.6875,0.0375,0.0252,-0.6248,0.7122,0.0622,0.6993,0.0493,0.6838,0.0338,0.6454,-0.0046,0.7111,0.0611
Achievements/make_stone_sword,0.7286,0.7302,0.0016,0.7353,0.0067,0.0,-0.7286,0.7214,-0.0071,0.75,0.0214,0.766,0.0374,0.7259,-0.0026,0.0545,-0.674,0.0,-0.7286,0.6765,-0.0521,0.0,-0.7286,0.7185,-0.0101,0.2482,-0.4803,0.3669,-0.3617,0.3696,-0.359,0.7447,0.0161,0.0,-0.7286,0.7465,0.0179,0.7656,0.0371,0.0672,-0.6613,0.7986,0.07,0.6923,-0.0363,0.7279,-0.0006,0.7021,-0.0264,0.763,0.0344
Achievements/make_wood_pickaxe,0.9357,0.9444,0.0087,0.9265,-0.0092,0.0,-0.9357,0.9286,-0.0071,0.9571,0.0214,0.9362,0.0005,0.9556,0.0198,0.3636,-0.5721,0.0,-0.9357,0.9412,0.0055,0.0,-0.9357,0.9481,0.0124,0.695,-0.2407,0.7554,-0.1803,0.7971,-0.1386,0.922,-0.0137,0.0,-0.9357,0.9155,-0.0202,0.9297,-0.006,0.3445,-0.5912,0.9353,-0.0005,0.9301,-0.0056,0.9412,0.0055,0.922,-0.0137,0.9481,0.0124
Achievements/make_wood_sword,0.6714,0.6587,-0.0127,0.6765,0.005,0.0,-0.6714,0.6786,0.0071,0.7357,0.0643,0.6879,0.0165,0.6667,-0.0048,0.3091,-0.3623,0.0,-0.6714,0.7132,0.0418,0.0,-0.6714,0.6889,0.0175,0.6596,-0.0119,0.7554,0.084,0.7971,0.1257,0.6738,0.0023,0.0,-0.6714,0.7254,0.0539,0.6875,0.0161,0.1176,-0.5538,0.6978,0.0264,0.6154,-0.056,0.75,0.0786,0.6738,0.0023,0.7481,0.0767
Achievements/place_furnace,0.8,0.7778,-0.0222,0.8309,0.0309,0.0,-0.8,0.8214,0.0214,0.8214,0.0214,0.8156,0.0156,0.8148,0.0148,0.0303,-0.7697,0.0,-0.8,0.7574,-0.0426,0.0,-0.8,0.8,-0.0,0.1986,-0.6014,0.4388,-0.3612,0.4565,-0.3435,0.7872,-0.0128,0.0,-0.8,0.7958,-0.0042,0.7969,-0.0031,0.2017,-0.5983,0.8417,0.0417,0.7902,-0.0098,0.8088,0.0088,0.8298,0.0298,0.8,-0.0
Achievements/place_plant,0.5929,0.6508,0.0579,0.7059,0.113,0.0,-0.5929,0.5786,-0.0143,0.6286,0.0357,0.695,0.1022,0.6519,0.059,0.0242,-0.5686,0.0,-0.5929,0.6324,0.0395,0.0,-0.5929,0.6593,0.0664,0.0426,-0.5503,0.0791,-0.5137,0.1014,-0.4914,0.6879,0.0951,0.0,-0.5929,0.6901,0.0973,0.6719,0.079,0.9412,0.3483,0.6906,0.0978,0.7063,0.1134,0.625,0.0321,0.6667,0.0738,0.6519,0.059
Achievements/place_stone,0.6429,0.6429,0.0,0.7279,0.0851,0.0,-0.6429,0.7143,0.0714,0.7071,0.0643,0.695,0.0522,0.7185,0.0757,0.0485,-0.5944,0.0,-0.6429,0.6397,-0.0032,0.0,-0.6429,0.6444,0.0016,0.227,-0.4159,0.2806,-0.3623,0.2681,-0.3747,0.6879,0.0451,0.0,-0.6429,0.7254,0.0825,0.7187,0.0759,0.1261,-0.5168,0.6259,-0.017,0.6643,0.0215,0.6103,-0.0326,0.695,0.0522,0.7333,0.0905
Achievements/place_table,0.9786,0.9683,-0.0103,0.9853,0.0067,0.0,-0.9786,0.9571,-0.0214,0.9643,-0.0143,0.9433,-0.0353,0.9778,-0.0008,0.4788,-0.4998,0.0,-0.9786,0.9853,0.0067,0.0,-0.9786,0.9704,-0.0082,0.8014,-0.1772,0.8561,-0.1225,0.8623,-0.1163,0.9504,-0.0282,0.0,-0.9786,0.9507,-0.0279,0.9922,0.0136,0.4538,-0.5248,0.9712,-0.0073,0.958,-0.0205,0.9779,-0.0006,0.9645,-0.014,1.0,0.0214
Achievements/wake_up,0.0929,0.119,0.0262,0.0735,-0.0193,0.0,-0.0929,0.0786,-0.0143,0.1,0.0071,0.0709,-0.0219,0.0963,0.0034,0.0061,-0.0868,0.0,-0.0929,0.1324,0.0395,0.0,-0.0929,0.1481,0.0553,0.2199,0.127,0.1583,0.0654,0.2391,0.1463,0.1064,0.0135,0.0,-0.0929,0.1197,0.0269,0.0547,-0.0382,0.0,-0.0929,0.0863,-0.0065,0.0699,-0.0229,0.0809,-0.012,0.0496,-0.0432,0.1185,0.0257
